ID_CLUB;NOMBRE_CLUB;DIRECCION;NUMERO_CANCHAS
BOG01;Locos x Padel;Calle 147 #58-04;8
BOG02;Padel Point;Calle 170 #49b-96;5
BOG03;Padel Shot;Cra. 15 #63-81;4
BOG04;Capital Padel Club;Ak 8 #141-55;3
BOG05;Bogota Padel Center;Cra. 45 #169-81;4
BOG06;Swing Padel Club;Av. Cra 19 #123-44;4
BOG07;Pro Padel Zone;Cra. 19a #78-99;2
BOG08;Azotea Padel;Cra. 19a #78–99;1
BOG09;El Parche Padel Club;Av. Boyacá #163-31;3
BOG10;Bogota Padel Club;Cra 7 # 69-41;1
BOG11;Padel Mania;Cra. 15 #68-86;1
BOG12;Top Padel Bogota;calle 235 Via Guaymaral #61-85;2
BOG13;Padel Fedecoltenis Forest Hills;Cra. 68 #170-60;4
BOG14;La Pala Club de Padel;127 CON AUTOPISTA;5
BOG15;Padel Club Patios;Peaje los Patios;2
BOG16;Fudel Rapido;Av Suba 120 A 51;1
BOG17;Distrito Padel Club;Cra. 58 #169-02;5
BOG18;Spin Padel;Cra. 55a #134A-91;9
BOG19;Action Sport Club Sede Norte;Calle 170 #22-13;
BOG20;Urban Padel;Cra. 69t #80-25;3
BOG21;Cancha Central;Calle 120a #6a-53;1
BOG22;Slam Padel Chico;Cra. 14a #103-45;2
BOG23;Padel DC;Calle 21 #1-77;1
